mechanism,eps,n_users,accuracy
piecewise_sub,1.0,60,0.0201953125
piecewise_sub,1.0,61,0.019841188524590166
piecewise_sub,1.0,62,0.019604334677419354
piecewise_sub,1.0,63,0.01908234126984127
piecewise_sub,1.0,64,0.0190185546875
piecewise_sub,1.0,65,0.018766826923076924
piecewise_sub,1.0,66,0.018477746212121213
piecewise_sub,1.0,67,0.01803171641791045
piecewise_sub,1.0,68,0.018377757352941178
piecewise_sub,1.0,69,0.017506793478260868
piecewise_sub,1.0,70,0.017350446428571427
piecewise_sub,1.0,71,0.017330545774647887
piecewise_sub,2.0,1,1.0
piecewise_sub,2.0,2,0.6390625
piecewise_sub,2.0,3,0.4828125
piecewise_sub,2.0,4,0.3851171875
piecewise_sub,2.0,5,0.31009375
piecewise_sub,2.0,6,0.2745052083333333
piecewise_sub,2.0,7,0.23261160714285714
piecewise_sub,2.0,8,0.20857421875
piecewise_sub,2.0,9,0.18845486111111112
piecewise_sub,2.0,10,0.171265625
piecewise_sub,2.0,11,0.15529829545454546
piecewise_sub,2.0,12,0.14240885416666665
piecewise_sub,2.0,13,0.13286057692307693
piecewise_sub,2.0,14,0.12197544642857143
piecewise_sub,2.0,15,0.11347916666666667
piecewise_sub,2.0,16,0.108193359375
piecewise_sub,2.0,17,0.0997610294117647
piecewise_sub,2.0,18,0.09388888888888888
piecewise_sub,2.0,19,0.08958881578947368
piecewise_sub,2.0,20,0.0853671875
piecewise_sub,2.0,21,0.08257440476190477
piecewise_sub,2.0,22,0.0798721590909091
piecewise_sub,2.0,23,0.07481657608695652
piecewise_sub,2.0,24,0.07210286458333333
piecewise_sub,2.0,25,0.06885
piecewise_sub,2.0,26,0.06641826923076923
piecewise_sub,2.0,27,0.06302083333333333
piecewise_sub,2.0,28,0.06094308035714286
piecewise_sub,2.0,29,0.059671336206896554
piecewise_sub,2.0,30,0.05702083333333333
piecewise_sub,2.0,31,0.05500504032258065
piecewise_sub,2.0,32,0.054814453125
piecewise_sub,2.0,33,0.05230587121212121
piecewise_sub,2.0,34,0.050551470588235295
piecewise_sub,2.0,35,0.049102678571428575
piecewise_sub,2.0,36,0.048146701388888886
piecewise_sub,2.0,37,0.047432432432432434
piecewise_sub,2.0,38,0.045485197368421056
piecewise_sub,2.0,39,0.04441907051282051
piecewise_sub,2.0,40,0.04334375
piecewise_sub,2.0,41,0.04234375
piecewise_sub,2.0,42,0.04119047619047619
piecewise_sub,2.0,43,0.04073764534883721
piecewise_sub,2.0,44,0.03989346590909091
piecewise_sub,2.0,45,0.038892361111111114
piecewise_sub,2.0,46,0.03798233695652174
piecewise_sub,2.0,47,0.03659242021276596
piecewise_sub,2.0,48,0.03553059895833333
piecewise_sub,2.0,49,0.03543048469387755
piecewise_sub,2.0,50,0.0343625
piecewise_sub,2.0,51,0.03402879901960784
piecewise_sub,2.0,52,0.033359375
piecewise_sub,2.0,53,0.03228478773584906
piecewise_sub,2.0,54,0.03236111111111111
piecewise_sub,2.0,55,0.03196875
piecewise_sub,2.0,56,0.031001674107142857
piecewise_sub,2.0,57,0.030537280701754387
piecewise_sub,2.0,58,0.030245150862068967
piecewise_sub,2.0,59,0.029634533898305084
piecewise_sub,2.0,60,0.029296875
piecewise_sub,2.0,61,0.028317110655737703
piecewise_sub,2.0,62,0.027893145161290323
piecewise_sub,2.0,63,0.027058531746031747
piecewise_sub,2.0,64,0.02719970703125
piecewise_sub,2.0,65,0.026521634615384617
piecewise_sub,2.0,66,0.026219223484848484
