attribute,mechanism,eps,n_users,p_rate,tp,fn,fp,tn,accuracy,precision,recall,specificity,balanced_accuracy,t_agree_rate
calories,laplace,2,52,0.735,154,581,15,250,0.404,0.9112426035502958,0.20952380952380953,0.9433962264150944,0.404,0.961038961038961
calories,laplace,2,54,0.725,151,574,10,265,0.416,0.937888198757764,0.2082758620689655,0.9636363636363636,0.41600000000000004,0.9867549668874173
calories,laplace,2,56,0.726,154,572,25,249,0.403,0.8603351955307262,0.21212121212121213,0.9087591240875912,0.403,0.987012987012987
calories,laplace,2,58,0.74,144,596,7,253,0.397,0.9536423841059603,0.1945945945945946,0.9730769230769231,0.397,0.9722222222222222
calories,laplace,2,60,0.767,158,609,14,219,0.377,0.9186046511627907,0.20599739243807041,0.9399141630901288,0.377,0.9873417721518988
calories,laplace,2,62,0.715,163,552,7,278,0.441,0.9588235294117647,0.22797202797202798,0.9754385964912281,0.44100000000000006,0.9877300613496932
calories,laplace,2,64,0.725,154,571,8,267,0.421,0.9506172839506173,0.21241379310344827,0.9709090909090909,0.42100000000000004,0.987012987012987
calories,laplace,2,66,0.73,155,575,13,257,0.412,0.9226190476190477,0.21232876712328766,0.9518518518518518,0.41200000000000003,0.9806451612903225
calories,laplace,2,68,0.715,124,591,9,276,0.4,0.9323308270676691,0.17342657342657342,0.968421052631579,0.4,0.9919354838709677
calories,laplace,2,70,0.699,138,561,4,297,0.435,0.971830985915493,0.19742489270386265,0.9867109634551495,0.43500000000000005,0.9855072463768116
calories,laplace,4,2,0.84,393,447,5,155,0.548,0.9874371859296482,0.46785714285714286,0.96875,0.548,0.9923664122137404
calories,laplace,4,4,0.852,357,495,10,138,0.495,0.9727520435967303,0.41901408450704225,0.9324324324324325,0.495,0.9971988795518207
calories,laplace,4,6,0.826,374,452,11,163,0.537,0.9714285714285714,0.45278450363196127,0.9367816091954023,0.537,1.0
calories,laplace,4,8,0.816,392,424,6,178,0.57,0.9849246231155779,0.4803921568627451,0.967391304347826,0.5700000000000001,0.9948979591836735
calories,laplace,4,10,0.813,367,446,9,178,0.545,0.976063829787234,0.45141451414514144,0.9518716577540107,0.545,0.997275204359673
calories,laplace,4,12,0.798,333,465,11,191,0.524,0.9680232558139535,0.41729323308270677,0.9455445544554455,0.524,1.0
calories,laplace,4,14,0.805,372,433,13,182,0.554,0.9662337662337662,0.462111801242236,0.9333333333333333,0.5539999999999999,1.0
calories,laplace,4,16,0.799,353,446,4,197,0.55,0.988795518207283,0.44180225281602004,0.9800995024875622,0.55,1.0
calories,laplace,4,18,0.789,321,468,10,201,0.522,0.9697885196374623,0.4068441064638783,0.95260663507109,0.522,1.0
calories,laplace,4,20,0.803,353,450,9,188,0.541,0.9751381215469613,0.4396014943960149,0.9543147208121827,0.5409999999999999,1.0
calories,laplace,4,22,0.78,353,427,12,208,0.561,0.9671232876712329,0.45256410256410257,0.9454545454545454,0.5609999999999999,0.9943342776203966
calories,laplace,4,24,0.786,350,436,13,201,0.551,0.9641873278236914,0.44529262086513993,0.9392523364485982,0.5509999999999999,1.0
calories,laplace,4,26,0.791,392,399,13,196,0.588,0.9679012345679012,0.49557522123893805,0.937799043062201,0.588,0.9974489795918368
calories,laplace,4,28,0.791,363,428,7,202,0.565,0.981081081081081,0.4589127686472819,0.9665071770334929,0.565,1.0
calories,laplace,4,30,0.796,370,426,15,189,0.559,0.961038961038961,0.4648241206030151,0.9264705882352942,0.559,0.9945945945945946
calories,laplace,4,32,0.757,386,371,13,230,0.616,0.9674185463659147,0.5099075297225891,0.9465020576131687,0.616,1.0
calories,laplace,4,34,0.769,359,410,13,218,0.577,0.9650537634408602,0.4668400520156047,0.9437229437229437,0.5770000000000001,1.0
calories,laplace,4,36,0.796,388,408,6,198,0.586,0.9847715736040609,0.48743718592964824,0.9705882352941176,0.586,1.0
calories,laplace,4,38,0.763,337,426,14,223,0.56,0.9601139601139601,0.4416775884665793,0.9409282700421941,0.56,1.0
calories,laplace,4,40,0.754,330,424,6,240,0.57,0.9821428571428571,0.4376657824933687,0.975609756097561,0.5700000000000001,0.996969696969697
calories,laplace,4,42,0.767,367,400,12,221,0.588,0.9683377308707124,0.4784876140808344,0.9484978540772532,0.588,1.0
calories,laplace,4,44,0.748,350,398,19,233,0.583,0.948509485094851,0.4679144385026738,0.9246031746031746,0.583,1.0
calories,laplace,4,46,0.74,376,364,11,249,0.625,0.9715762273901809,0.5081081081081081,0.9576923076923077,0.625,1.0
calories,laplace,4,48,0.74,375,365,12,248,0.623,0.9689922480620154,0.5067567567567568,0.9538461538461539,0.623,0.9973333333333333
calories,laplace,4,50,0.754,344,410,6,240,0.584,0.9828571428571429,0.4562334217506631,0.975609756097561,0.584,1.0
calories,laplace,4,52,0.735,335,400,17,248,0.583,0.9517045454545454,0.4557823129251701,0.9358490566037736,0.5830000000000001,1.0
calories,laplace,4,54,0.734,337,397,15,251,0.588,0.9573863636363636,0.4591280653950954,0.943609022556391,0.5880000000000001,1.0
calories,laplace,4,56,0.742,353,389,7,251,0.604,0.9805555555555555,0.4757412398921833,0.9728682170542635,0.6040000000000001,1.0
calories,laplace,4,58,0.722,333,389,11,267,0.6,0.9680232558139535,0.46121883656509693,0.960431654676259,0.6,0.996996996996997
calories,laplace,4,60,0.704,352,352,13,283,0.635,0.9643835616438357,0.5,0.956081081081081,0.635,1.0
calories,laplace,4,62,0.721,339,382,14,265,0.604,0.9603399433427762,0.47018030513176146,0.9498207885304659,0.6040000000000001,1.0
calories,laplace,4,64,0.721,368,353,11,268,0.636,0.9709762532981531,0.5104022191400832,0.9605734767025089,0.636,0.9972826086956522
calories,laplace,4,66,0.741,374,367,22,237,0.611,0.9444444444444444,0.50472334682861,0.915057915057915,0.611,1.0
calories,laplace,4,68,0.732,349,383,8,260,0.609,0.9775910364145658,0.476775956284153,0.9701492537313433,0.609,1.0
calories,laplace,4,70,0.73,342,388,19,251,0.593,0.9473684210526315,0.4684931506849315,0.9296296296296296,0.593,1.0
calories,laplace,8,2,0.827,570,257,11,162,0.732,0.9810671256454389,0.6892382103990327,0.9364161849710982,0.732,1.0
calories,laplace,8,4,0.858,643,215,5,137,0.78,0.9922839506172839,0.7494172494172494,0.9647887323943662,0.78,1.0
calories,laplace,8,6,0.811,587,224,10,179,0.766,0.983249581239531,0.7237977805178791,0.9470899470899471,0.7659999999999999,1.0
calories,laplace,8,8,0.82,603,217,10,170,0.773,0.9836867862969005,0.7353658536585366,0.9444444444444444,0.773,1.0
calories,laplace,8,10,0.814,595,219,7,179,0.774,0.9883720930232558,0.730958230958231,0.9623655913978495,0.774,1.0
calories,laplace,8,12,0.811,606,205,10,179,0.785,0.9837662337662337,0.7472256473489519,0.9470899470899471,0.785,1.0
calories,laplace,8,14,0.818,594,224,11,171,0.765,0.9818181818181818,0.726161369193154,0.9395604395604396,0.765,1.0
calories,laplace,8,16,0.811,618,193,8,181,0.799,0.987220447284345,0.7620221948212084,0.9576719576719577,0.7989999999999999,1.0
calories,laplace,8,18,0.802,587,215,17,181,0.768,0.9718543046357616,0.7319201995012469,0.9141414141414141,0.768,1.0
